gm_username,series_name,playlist
VBKN,Habits (2021),https://www.youtube.com/watch?v=p8pZbhjL-fQ&list=PL8N8j2e7RpPnpqbISqi1SJ9_wrnNU3rEm
sterkurstrakur,French Defense,https://www.youtube.com/watch?v=C3h3t6GxTH8&list=PLUjxDD7HNNTgWqHZpTn_6s7_47bRMOo2c
PoojaFan69,Caro-Kann,https://www.youtube.com/watch?v=rCZrddCQWY8&list=PLUjxDD7HNNTjVEZ_1I8E28uav9t_ltDKX
VBKN,Bullet Habits,https://www.youtube.com/watch?v=OeapLlwhpFg&list=PLUjxDD7HNNTh8a6IyYOhLg9GuFXoCidf8
slowbrah,Slowbrah,https://www.youtube.com/watch?v=Bg5gyquddIM&list=PLUjxDD7HNNTgX_ufiNv85dHl5cNYOlyxK
sterkurstrakur,English,https://www.youtube.com/watch?v=rGEFryycmgE&list=PLUjxDD7HNNTgFhixLDC8ZbTyLaqZZ-oyu
Hippopotamus,Hippo,https://www.youtube.com/watch?v=FmP3EcwKhus&list=PLUjxDD7HNNTjPPDAZGCcpmpSmw6QFLxJU
systemplayer,London System,https://www.youtube.com/watch?v=3bULUDwHYtc&list=PLUjxDD7HNNTiljFCufDXDSjEQH1cIdbSx
speedonly,King's Indian,https://www.youtube.com/watch?v=VY8ASpIIHYw&list=PLUjxDD7HNNTinraGDsjTkIh_NMnaIOr4K
systematic,Let Aman Cook,https://www.youtube.com/watch?v=coRV0_lviOQ&list=PLUjxDD7HNNTgtpLudM3yUyEo4jXLSXOZt
ebenetzebeth,1..d6,https://www.youtube.com/watch?v=_d06nNfyhLg&list=PLUjxDD7HNNThhJfKut7JhDp8QNXgULn5M
iattackuresign,Amanâ€™s Attacking Speedrun!,https://www.youtube.com/watch?v=pBqkI3cl5rw&list=PLUjxDD7HNNThyShNsNms2-ydwimYbl66n
tungjatjeta,Building Repertoires,https://www.youtube.com/watch?v=xIGCDwIiToc&list=PLUjxDD7HNNTgqsQMSU_fHk0DuRZfjrnZK
ebenetzebeth,1.e4,https://www.youtube.com/watch?v=LNKLoUzk2AA&list=PLUjxDD7HNNThrUKoSNDnRJPT5JNUfIlgT
wonestall,Stonewall,https://www.youtube.com/watch?v=W0UmYoFigy4&list=PLUjxDD7HNNTgUMR77Bdd3NGtvFXApHZkS
vonamiat,Taimanov,https://www.youtube.com/watch?v=yVIB7_Q7sLk&list=PLUjxDD7HNNTjZAD99gBAKVm_ZipXTtNYn
systemplayer,1..b6,https://www.youtube.com/watch?v=qb4rtz_AYiA&list=PL8N8j2e7RpPnCgAMT4ZMZc4BEw7RCDjoA
fianchettonly,Fianchetto,https://www.youtube.com/watch?v=TrA_bYj5pR8&list=PL8N8j2e7RpPkifGM5W4l5lPnD2C5U10_r
habitual,Habits (2025),https://www.youtube.com/watch?v=COuBww22MUA&list=PL8N8j2e7RpPlSPzEcaZx6YFLxVjQmvJty
zukertortlaw,Colle-Zukertort,https://www.youtube.com/watch?v=qeCuLmXXjK8&list=PLUjxDD7HNNTgHZ8KoBAaDppN1zerOWpXi
redwinereduction,Philidor,https://www.youtube.com/watch?v=jmzh7EAKO-A&list=PLUjxDD7HNNTiQ-rsy-kKE9uHRBqtNlCUa
dennorskrotte,Norwegian Rat,https://www.youtube.com/watch?v=hgsEQOQMuCo&list=PLUjxDD7HNNTgfU-Zpak0s3kLfdIgkg6mJ
TheQueensGambit,Queen's Gambit,https://www.youtube.com/watch?v=pm0RHc3PiB4&list=PLUjxDD7HNNTgUtmFtlWp2W3Lu9RKRziZv
